image_id;file_name;theme;location;motif_1;motif_2;season;contains_people;source;license;quality_score;cultural_value;notes
CHRD_REAL_0065;CHRD_REAL_0065.jpeg;Daily Life;Ürgüp;Stone House;Pottery;;Yes;;;;High;
CHRD_REAL_0066;CHRD_REAL_0066.jpeg;Valley;Kızılçukur;Fairy Chimney;Landscape;;No;;;;Medium;
CHRD_REAL_0067;CHRD_REAL_0067.jpeg;Fairy Chimney;Kızılçukur;Rock Formation;Landscape;;No;;;;High;
CHRD_REAL_0068;CHRD_REAL_0068.jpeg;Fairy Chimney;Kızılçukur;Rock Formation;Landscape;;Yes;;;;Medium;
CHRD_REAL_0069;CHRD_REAL_0069.jpeg;Rock-cut Heritage;;Church;Museum;;No;;;;Low;
CHRD_REAL_0070;CHRD_REAL_0070.jpeg;Rock-cut Heritage;;Cave House;Valley;;No;;;;High;
CHRD_REAL_0071;CHRD_REAL_0071.jpeg;Fairy Chimney;;Rock Formation;Valley;;No;;;;High;
CHRD_REAL_0072;CHRD_REAL_0072.jpeg;Daily Life;Ürgüp;Stone House;;;No;;;;Low;
CHRD_REAL_0073;CHRD_REAL_0073.jpeg;Local Architecture;Mustafapaşa;Stone House;Museum;;No;;;;Low;
CHRD_REAL_0074;CHRD_REAL_0074.jpeg;Fairy Chimney;;Rock Formation;Fairy Chimney;;No;;;;High;
CHRD_REAL_0075;CHRD_REAL_0075.jpeg;Fairy Chimney;;Rock Formation;Fairy Chimney;;No;;;;High;
CHRD_REAL_0076;CHRD_REAL_0076.jpeg;Rock-cut Heritage;;Cave House;Stone House;;No;;;;High;
CHRD_REAL_0077;CHRD_REAL_0077.jpeg;Village Square;Mustafapaşa;Stone House;Street;;No;;;;Medium;
CHRD_REAL_0078;CHRD_REAL_0078.jpeg;Village Square;Ürgüp;Stone House;Street;;No;;;;Low;
CHRD_REAL_0079;CHRD_REAL_0079.jpeg;Village Square;Mustafapaşa;Stone House;Street;;No;;;;Medium;
CHRD_REAL_0080;CHRD_REAL_0080.jpeg;Village Square;Avanos;Stone House;Street;;Yes;;;;Medium;
CHRD_REAL_0081;CHRD_REAL_0081.jpeg;Traditional Crafts;Ürgüp;Pottery;Balloon;Summer;No;;;;High;
