image_id;file_name;theme;location;motif_1;motif_2;season;contains_people;quality_score;cultural_value;notes
CHRD_REAL_0108;CHRD_REAL_0108.jpeg;Village Square;;Cave House;sunset;;No;;Medium;
CHRD_REAL_0109;CHRD_REAL_0109.jpeg;Natural Landscape;;landscape;sky;;No;;Low;
CHRD_REAL_0110;CHRD_REAL_0110.jpeg;Village Square;;Stone House;Street;;No;;Medium;
CHRD_REAL_0111;CHRD_REAL_0111.jpeg;Daily Life;;Stone House;Street;;No;;Medium;
CHRD_REAL_0112;CHRD_REAL_0112.jpeg;Daily Life;;Stone House;;;No;;Low;
CHRD_REAL_0113;CHRD_REAL_0113.jpeg;Local Architecture;;Church;Museum;;No;;Low;
CHRD_REAL_0114;CHRD_REAL_0114.jpeg;Daily Life;;Stone House;;;No;;Medium;
CHRD_REAL_0115;CHRD_REAL_0115.jpeg;Daily Life;;Stone House;;;No;;Medium;
CHRD_REAL_0116;CHRD_REAL_0116.jpeg;Local Architecture;;Fairy Chimney;Landscape;;No;;Medium;
CHRD_REAL_0117;CHRD_REAL_0117.jpeg;Daily Life;Ürgüp Öğretmen Evi;Stone House;;;No;;Low;
CHRD_REAL_0118;CHRD_REAL_0118.jpeg;Natural Landscape;;trees;Landscape;Summer;No;;Low;
CHRD_REAL_0120;CHRD_REAL_0120.jpeg;Natural Landscape;;Valley;Sunrise;;No;;Low;
CHRD_REAL_0121;CHRD_REAL_0121.jpeg;Fairy Chimney;;Fairy Chimney;cave house;;No;;High;
CHRD_REAL_0122;CHRD_REAL_0122.jpeg;Village Square;Ürgüp;snow;Street;winter;No;;Low;
CHRD_REAL_0123;CHRD_REAL_0123.jpeg;Local Architecture;Derinkuyu;Church;Museum;;No;;Low;
CHRD_REAL_0124;CHRD_REAL_0124.jpeg;Local Architecture;Mustafapaşa;Stone House;;;No;;Low;
CHRD_REAL_0125;CHRD_REAL_0125.jpeg;Local Architecture;Mustafapaşa;Stone House;;;No;;Medium;
CHRD_REAL_0126;CHRD_REAL_0126.jpeg;Daily Life;Ürgüp;Stone House;cave hotel;;No;;Medium;
CHRD_REAL_0127;CHRD_REAL_0127.jpeg;Local Architecture;Ürgüp;Stone House;cave hotel;;No;;High;
CHRD_REAL_0128;CHRD_REAL_0128.jpeg;Local Architecture;Ürgüp;Stone House;Landscape;;No;;Low;
CHRD_REAL_0129;CHRD_REAL_0129.jpeg;Local Architecture;Ürgüp;Stone House;Street;;No;;Medium;
CHRD_REAL_0130;CHRD_REAL_0130.jpeg;Local Architecture;Ürgüp;Stone House;Street;;No;;Low;
CHRD_REAL_0131;CHRD_REAL_0131.jpeg;Village Square;Ürgüp;Stone House;Street;;No;;low;
CHRD_REAL_0133;CHRD_REAL_0133.jpeg;Local Architecture;Mustafapaşa;Stone House;cave hotel;;No;;Low;
CHRD_REAL_0135;CHRD_REAL_0135.jpeg;Village Square;Ürgüp;Stone House;Street;;No;;Low;
CHRD_REAL_0136;CHRD_REAL_0136.jpeg;Local Architecture;Mustafapaşa;Stone House;;;No;;Medium;
CHRD_REAL_0137;CHRD_REAL_0137.jpeg;Local Architecture;Ürgüp;Ballon;Street;;No;;High;
CHRD_REAL_0138;CHRD_REAL_0138.jpeg;Village Square;Ürgüp;Street;Landscape;;No;;Low;
CHRD_REAL_0139;CHRD_REAL_0139.jpeg;Local Architecture;Mustafapaşa;Stone House;;;No;;Medium;
CHRD_REAL_0140;CHRD_REAL_0140.jpeg;Local Architecture;;cave hotel;Stone House;;No;;Medium;
CHRD_REAL_0141;CHRD_REAL_0141.jpeg;Natural Landscape;;Fairy Chimney;Valley;;No;;Medium;
CHRD_REAL_0142;CHRD_REAL_0142.jpeg;Local Architecture;;cave house;;;No;;Medium;
CHRD_REAL_0143;CHRD_REAL_0143.jpeg;Natural Landscape;;Sunrise;Landscape;;No;;Low;
CHRD_REAL_0144;CHRD_REAL_0144.jpeg;Daily Life;;Street;Stone House;;No;;Low;
CHRD_REAL_0145;CHRD_REAL_0145.jpeg;Local Architecture;;Museum;carpet;;No;;Medium;mermer zemin?
CHRD_REAL_0146;CHRD_REAL_0146.jpeg;Local Architecture;;landscape;;;No;;Low;emin olamdım matiften
CHRD_REAL_0147;CHRD_REAL_0147.jpeg;Local Architecture;;Museum;;;No;;Low;
CHRD_REAL_0148;CHRD_REAL_0148.jpeg;Rock-cut Heritage;;Rock Formation;cave house;Summer;No;;High;
CHRD_REAL_0149;CHRD_REAL_0149.jpeg;Natural Landscape;;Rock Formation;trees;;No;;Medium;
CHRD_REAL_0150;CHRD_REAL_0150.jpeg;Daily Life;;Stone House;;;No;;Medium;
CHRD_REAL_0151;CHRD_REAL_0151.jpeg;Natural Landscape;;landscape;Rock Formation;;No;;Medium;
CHRD_REAL_0152;CHRD_REAL_0152.jpeg;Natural Landscape;;landscape;Rock Formation;;No;;High;
CHRD_REAL_0153;CHRD_REAL_0153.jpeg;Natural Landscape;;Rock Formation;;;No;;Medium;
CHRD_REAL_0154;CHRD_REAL_0154.jpeg;Local Architecture;;Museum;;;No;;high;
CHRD_REAL_0155;CHRD_REAL_0155.jpeg;Local Architecture;;cave house;Stone House;;No;;Medium;
CHRD_REAL_0156;CHRD_REAL_0156.jpeg;Local Architecture;;cave house;Stone House;;No;;High;
CHRD_REAL_0157;CHRD_REAL_0157.jpeg;Local Architecture;;Museum;;;No;;Medium;
CHRD_REAL_0158;CHRD_REAL_0158.jpeg;Local Architecture;;Museum;Pottery;;No;;High;
CHRD_REAL_0159;CHRD_REAL_0159.jpeg;Local Architecture;;Museum;;;No;;Low;
CHRD_REAL_0160;CHRD_REAL_0160.jpeg;Daily Life;;Museum;;;No;;medium;
CHRD_REAL_0161;CHRD_REAL_0161.jpeg;Local Architecture;;Museum;;;No;;Medium;
CHRD_REAL_0162;CHRD_REAL_0162.jpeg;Rock-cut Heritage;;Rock Formation;cave house;;No;;High;
CHRD_REAL_0163;CHRD_REAL_0163.jpeg;Rock-cut Heritage;;Rock Formation;cave house;;No;;Medium;
CHRD_REAL_0164;CHRD_REAL_0164.jpeg;Daily Life;;Fairy Chimney;Stone House;;No;;Medium;
CHRD_REAL_0165;CHRD_REAL_0165.jpeg;Local Architecture;;Stone House;;;No;;low;
CHRD_REAL_0166;CHRD_REAL_0166.jpeg;Local Architecture;;Rock Formation;cave house;;No;;Medium;
CHRD_REAL_0168;CHRD_REAL_0168.jpeg;Natural Landscape;;Valley;Rock Formation;;No;;Low;
CHRD_REAL_0170;CHRD_REAL_0170.jpeg;Fairy Chimney;;Rock Formation;cave house;;No;;High;
CHRD_REAL_0171;CHRD_REAL_0171.jpeg;Rock-cut Heritage;;Rock Formation;Fairy Chimney;;No;;High;
CHRD_REAL_0172;CHRD_REAL_0172.jpeg;Daily Life;;Street;Stone House;;No;;Medium;
CHRD_REAL_0173;CHRD_REAL_0173.jpeg;Rock-cut Heritage;;Rock Formation;;;No;;Medium;
CHRD_REAL_0174;CHRD_REAL_0174.jpeg;Rock-cut Heritage;;cave house;Stone House;;No;;High;
CHRD_REAL_0175;CHRD_REAL_0175.jpeg;Natural Landscape;;Fairy Chimney;Rock Formation;;No;;High;
CHRD_REAL_0176;CHRD_REAL_0176.jpeg;Rock-cut Heritage;;cave house;Landscape;;No;;Medium;
CHRD_REAL_0177;CHRD_REAL_0177.jpeg;Village Square;;Stone House;Landscape;;No;;Medium;
CHRD_REAL_0178;CHRD_REAL_0178.jpeg;Local Architecture;;Rock Formation;Landscape;;No;;Medium;
CHRD_REAL_0179;CHRD_REAL_0179.jpeg;Natural Landscape;;rock Formation;Valley;;No;;Medium;
CHRD_REAL_0180;CHRD_REAL_0180.jpeg;Daily Life;;Rock Formation;Stone House;;No;;low;
CHRD_REAL_0181;CHRD_REAL_0181.jpeg;Rock-cut Heritage;;Rock Formation;cave house;;No;;High;
CHRD_REAL_0182;CHRD_REAL_0182.jpeg;Rock-cut Heritage;;Rock Formation;Fairy Chimney;;No;;High;
CHRD_REAL_0183;CHRD_REAL_0183.jpeg;Local Architecture;;Stone House;;;No;;low;
CHRD_REAL_0184;CHRD_REAL_0184.jpeg;Local Architecture;;Stone House;;;No;;low;
CHRD_REAL_0185;CHRD_REAL_0185.jpeg;Natural Landscape;;Rock Formation;;;No;;Low;
CHRD_REAL_0186;CHRD_REAL_0186.jpeg;Local Architecture;;Stone House;Fairy Chimney;;No;;high;
CHRD_REAL_0187;CHRD_REAL_0187.jpeg;Rock-cut Heritage;;Rock Formation;Fairy Chimney;;No;;High;
CHRD_REAL_0188;CHRD_REAL_0188.jpeg;Rock-cut Heritage;;cave house;Museum;;No;;High;
