file_name,theme,most_similar_file,most_similar_theme,similarity_score
CHRD_REAL_0046.jpeg,Rock-cut Heritage,CHRD_REAL_0050.jpeg,Local Architecture,0.7473
CHRD_REAL_0047.jpeg,Local Architecture,CHRD_REAL_0050.jpeg,Local Architecture,0.8948
CHRD_REAL_0048.jpeg,Rock-cut Heritage,CHRD_REAL_0058.jpeg,Fairy Chimney,0.7757
CHRD_REAL_0049.jpeg,Local Architecture,CHRD_REAL_0069.jpeg,Rock-cut Heritage,0.7801
CHRD_REAL_0050.jpeg,Local Architecture,CHRD_REAL_0047.jpeg,Local Architecture,0.8948
CHRD_REAL_0051.jpeg,Rock-cut Heritage,CHRD_REAL_0052.jpeg,Rock-cut Heritage,0.8866
CHRD_REAL_0052.jpeg,Rock-cut Heritage,CHRD_REAL_0051.jpeg,Rock-cut Heritage,0.8866
CHRD_REAL_0053.jpeg,Daily Life,CHRD_REAL_0049.jpeg,Local Architecture,0.7288
CHRD_REAL_0055.jpeg,Village Square,CHRD_REAL_0030.jpeg,Village Square,0.585
CHRD_REAL_0058.jpeg,Fairy Chimney,CHRD_REAL_0074.jpeg,Fairy Chimney,0.8517
CHRD_REAL_0059.jpeg,Local Architecture,CHRD_REAL_0049.jpeg,Local Architecture,0.6389
CHRD_REAL_0060.jpeg,Local Architecture,CHRD_REAL_0069.jpeg,Rock-cut Heritage,0.6081
CHRD_REAL_0061.jpeg,Fairy Chimney,CHRD_REAL_0071.jpeg,Fairy Chimney,0.818
CHRD_REAL_0062.jpeg,Rock-cut Heritage,CHRD_REAL_0070.jpeg,Rock-cut Heritage,0.7714
CHRD_REAL_0063.jpeg,Local Architecture,CHRD_REAL_0061.jpeg,Fairy Chimney,0.7623
CHRD_REAL_0064.jpeg,Village Square,CHRD_REAL_0038.jpeg,Daily Life,0.8511
CHRD_REAL_0065.jpeg,Daily Life,CHRD_REAL_0091.jpeg,Daily Life,0.7253
CHRD_REAL_0067.jpeg,Fairy Chimney,CHRD_REAL_0071.jpeg,Fairy Chimney,0.843
CHRD_REAL_0068.jpeg,Fairy Chimney,CHRD_REAL_0076.jpeg,Rock-cut Heritage,0.7659
CHRD_REAL_0069.jpeg,Rock-cut Heritage,CHRD_REAL_0049.jpeg,Local Architecture,0.7801
CHRD_REAL_0070.jpeg,Rock-cut Heritage,CHRD_REAL_0022.jpeg,Rock-cut Heritage,0.8045
CHRD_REAL_0071.jpeg,Fairy Chimney,CHRD_REAL_0067.jpeg,Fairy Chimney,0.843
CHRD_REAL_0072.jpeg,Daily Life,CHRD_REAL_0032.jpeg,Daily Life,0.702
CHRD_REAL_0073.jpeg,Local Architecture,CHRD_REAL_0031.jpeg,Natural Landscape,0.8362
CHRD_REAL_0074.jpeg,Fairy Chimney,CHRD_REAL_0075.jpeg,Fairy Chimney,0.868
CHRD_REAL_0075.jpeg,Fairy Chimney,CHRD_REAL_0074.jpeg,Fairy Chimney,0.868
CHRD_REAL_0076.jpeg,Rock-cut Heritage,CHRD_REAL_0022.jpeg,Rock-cut Heritage,0.824
CHRD_REAL_0077.jpeg,Village Square,CHRD_REAL_0086.jpeg,Daily Life,0.5978
CHRD_REAL_0078.jpeg,Village Square,CHRD_REAL_0072.jpeg,Daily Life,0.5839
CHRD_REAL_0079.jpeg,Village Square,CHRD_REAL_0004.jpeg,Village Square,0.7023
CHRD_REAL_0080.jpeg,Village Square,CHRD_REAL_0030.jpeg,Village Square,0.7064
CHRD_REAL_0082.jpeg,Daily Life,CHRD_REAL_0078.jpeg,Village Square,0.5625
CHRD_REAL_0083.jpeg,Daily Life,CHRD_REAL_0059.jpeg,Local Architecture,0.6374
CHRD_REAL_0084.jpeg,Daily Life,CHRD_REAL_0097.jpeg,Local Architecture,0.6966
CHRD_REAL_0085.jpeg,Daily Life,CHRD_REAL_0094.jpeg,Daily Life,0.729
CHRD_REAL_0086.jpeg,Daily Life,CHRD_REAL_0088.jpeg,Daily Life,0.7052
CHRD_REAL_0087.jpeg,Daily Life,CHRD_REAL_0090.jpeg,Daily Life,0.7982
CHRD_REAL_0088.jpeg,Daily Life,CHRD_REAL_0038.jpeg,Daily Life,0.7659
CHRD_REAL_0089.jpeg,Daily Life,CHRD_REAL_0032.jpeg,Daily Life,0.7936
CHRD_REAL_0090.jpeg,Daily Life,CHRD_REAL_0087.jpeg,Daily Life,0.7982
CHRD_REAL_0091.jpeg,Daily Life,CHRD_REAL_0065.jpeg,Daily Life,0.7253
CHRD_REAL_0092.jpeg,Local Architecture,CHRD_REAL_0041.jpeg,Local Architecture,0.6049
CHRD_REAL_0093.jpeg,Daily Life,CHRD_REAL_0065.jpeg,Daily Life,0.6762
CHRD_REAL_0094.jpeg,Daily Life,CHRD_REAL_0085.jpeg,Daily Life,0.729
CHRD_REAL_0095.jpeg,Local Architecture,CHRD_REAL_0011.jpeg,Natural Landscape,0.7171
CHRD_REAL_0096.jpeg,Local Architecture,CHRD_REAL_0095.jpeg,Local Architecture,0.6897
CHRD_REAL_0097.jpeg,Local Architecture,CHRD_REAL_0084.jpeg,Daily Life,0.6966
CHRD_REAL_0098.jpeg,Local Architecture,CHRD_REAL_0099.jpeg,Rock-cut Heritage,0.7681
CHRD_REAL_0099.jpeg,Rock-cut Heritage,CHRD_REAL_0098.jpeg,Local Architecture,0.7681
